region,year,mig_total,mig_youth,pop_total,pop_youth,총_순이동률,청년_순이동률,bdg_관광,bdg_농업,bdg_일자리,bdg_복지,bdg_정주여건,bdg_기타,ep_관광,ep_농업,ep_일자리,ep_복지,ep_정주여건,ep_기타,treated,재정자립도,고령인구,고령화율,사업체수,log사업체수,행정유형,행정유형2,ep_A_청년정착,ep_B_생산유통,ep_C_어메니티,유형
강원삼척시,2019,-868.0,-1029.0,67228.0,14279.0,-1.2911286963765098,-7.206387001890889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.02,16004.0,23.805557208306062,2801.0,7.937731775260109,시,시,0.0,0.0,0.0,대형도시형
강원삼척시,2020,-1717.0,-1400.0,65243.0,13031.0,-2.631699952485324,-10.743611388228071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13.46,16572.0,25.40042609935165,2516.0,7.830425617820331,시,시,0.0,0.0,0.0,대형도시형
강원삼척시,2021,-1066.0,-1067.0,63429.0,11931.0,-1.680619275094988,-8.94308943089431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.18,16884.0,26.618739062573905,2605.0,7.865187954187467,시,시,0.0,0.0,0.0,대형도시형
강원삼척시,2022,574.0,-240.0,63455.0,11818.0,0.9045780474351904,-2.030800473853444,0.0,7.0,63.7,0.5,0.0,0.0,0.0,3.5,43.5992,0.0,0.0,0.0,1,13.15,17460.0,27.51556220943976,2742.0,7.91644286012226,시,시,0.0,3.5,0.0,대형도시형
강원삼척시,2023,-392.0,-578.0,62651.0,11487.0,-0.6256883369778615,-5.031775050056585,1.8,21.8,99.7408,10.625,79.3373,0.0,1.8,7.1857,68.4239,0.0,23.9598,0.0,1,13.48,18014.0,28.752932914079583,2801.0,7.937731775260109,시,시,0.0,5.132096,2.0536253,대형도시형
강원삼척시,2024,-395.0,-523.0,61735.0,11176.0,-0.6398315380254314,-4.67967072297781,0.0,23.7875,113.0536,10.625,56.3341,0.0,0.0,13.849,62.8852,0.1461,31.0544,0.0,1,13.56,18709.0,30.305337328905807,2754.0,7.9208096792886,시,시,0.0,13.849009,0.0,대형도시형
강원속초시,2019,246.0,9.0,81786.0,18204.0,0.3007849754236666,0.049439683586025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,18.04,14816.0,18.115569901939207,3942.0,8.279443487712665,시,시,0.0,0.0,0.0,대형도시형
강원속초시,2020,1075.0,133.0,82665.0,18217.0,1.300429444142019,0.7300872811110501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17.34,15874.0,19.20280650819573,3413.0,8.135346948906706,시,시,0.0,0.0,0.0,대형도시형
강원속초시,2021,610.0,161.0,82791.0,18070.0,0.7367950622652221,0.8909795240730493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.65,16673.0,20.1386624149968,3505.0,8.16194579946869,시,시,0.0,0.0,0.0,대형도시형
강원속초시,2022,457.0,91.0,82806.0,17762.0,0.5518923749486753,0.5123296926021844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20.08,17551.0,21.195324010337416,3465.0,8.150467911624004,시,시,0.0,0.0,0.0,대형도시형
강원속초시,2023,-358.0,-276.0,82054.0,17076.0,-0.4362980476271723,-1.6163035839775124,0.0,0.0,0.0,0.0,0.1828,0.0,0.0,0.0,0.0,0.0,0.1828,0.0,1,17.49,18496.0,22.541253320983746,3596.0,8.18757739559151,시,시,0.0,0.0,0.0,대형도시형
강원속초시,2024,-721.0,-484.0,80933.0,16322.0,-0.8908603412699393,-2.965322877098395,0.0,0.0,0.0,0.0,0.2144,0.0,0.0,0.0,0.0,0.0,0.21,0.0,1,18.35,19453.0,24.035930955234576,3728.0,8.223627175805483,시,시,0.0,0.0,0.0,대형도시형
강원양양군,2019,560.0,34.0,27726.0,4793.0,2.0197648416648635,0.7093678280826206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11.73,7945.0,28.655413691120245,1541.0,7.340186835320115,군,군,0.0,0.0,0.0,소형농촌형
강원양양군,2020,434.0,3.0,27946.0,4751.0,1.5529950619051027,0.0631446011366028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14.14,8314.0,29.75023259142632,1502.0,7.31455283232408,군,군,0.0,0.0,0.0,소형농촌형
